name,logo,description,location
"Fashion Hub","https://example.com/images/store1_logo.jpg","Your one-stop shop for trendy clothing and accessories.","Downtown Calgary"
"Gems and Jewels","https://example.com/images/store2_logo.jpg","Exquisite jewelry and gems for every occasion.","Calgary Beltline"
"Home Comforts","https://example.com/images/store3_logo.jpg","Beautiful furnishings to make your house a home.","Kensington, Calgary"
"Antique Treasures","https://example.com/images/store4_logo.jpg","A curated collection of antique home decor items.","Inglewood, Calgary"
"Shine Bright","https://example.com/images/store5_logo.jpg","Handcrafted lamps and lighting solutions.","Mission, Calgary"
"Trendy Threads","https://example.com/images/store1_logo.jpg","Your one-stop shop for trendy clothing and accessories.","Downtown Calgary"
"Jewelry Junction","https://example.com/images/store2_logo.jpg","Exquisite jewelry and gems for every occasion.","Calgary Beltline"
"Comfort Zone","https://example.com/images/store3_logo.jpg","Beautiful furnishings to make your house a home.","Kensington, Calgary"
"Antique Finds","https://example.com/images/store4_logo.jpg","A curated collection of antique home decor items.","Inglewood, Calgary"
"Luminous Lights","https://example.com/images/store5_logo.jpg","Handcrafted lamps and lighting solutions.","Mission, Calgary"
"Fashion Fiesta","https://example.com/images/store1_logo.jpg","Your one-stop shop for trendy clothing and accessories.","Downtown Calgary"
"Gemstone Gallery","https://example.com/images/store2_logo.jpg","Exquisite jewelry and gems for every occasion.","Calgary Beltline"
"Home Haven","https://example.com/images/store3_logo.jpg","Beautiful furnishings to make your house a home.","Kensington, Calgary"
"Vintage Values","https://example.com/images/store4_logo.jpg","A curated collection of antique home decor items.","Inglewood, Calgary"
"Light Up Life","https://example.com/images/store5_logo.jpg","Handcrafted lamps and lighting solutions.","Mission, Calgary"
"Chic Couture","https://example.com/images/store1_logo.jpg","Your one-stop shop for trendy clothing and accessories.","Downtown Calgary"
"Jewel Box","https://example.com/images/store2_logo.jpg","Exquisite jewelry and gems for every occasion.","Calgary Beltline"
"Comfort Creations","https://example.com/images/store3_logo.jpg","Beautiful furnishings to make your house a home.","Kensington, Calgary"
"Antique Charm","https://example.com/images/store4_logo.jpg","A curated collection of antique home decor items.","Inglewood, Calgary"
"Shine On","https://example.com/images/store5_logo.jpg","Handcrafted lamps and lighting solutions.","Mission, Calgary"
"Style Street","https://example.com/images/store1_logo.jpg","Your one-stop shop for trendy clothing and accessories.","Downtown Calgary"
"Diamond Dreams","https://example.com/images/store2_logo.jpg","Exquisite jewelry and gems for every occasion.","Calgary Beltline"
"Home Harmony","https://example.com/images/store3_logo.jpg","Beautiful furnishings to make your house a home.","Kensington, Calgary"
"Antique Aura","https://example.com/images/store4_logo.jpg","A curated collection of antique home decor items.","Inglewood, Calgary"
"Bright Ideas","https://example.com/images/store5_logo.jpg","Handcrafted lamps and lighting solutions.","Mission, Calgary"
"Fashion Focus","https://example.com/images/store1_logo.jpg","Your one-stop shop for trendy clothing and accessories.","Downtown Calgary"
"Gem Palace","https://example.com/images/store2_logo.jpg","Exquisite jewelry and gems for every occasion.","Calgary Beltline"
"Comfort Collection","https://example.com/images/store3_logo.jpg","Beautiful furnishings to make your house a home.","Kensington, Calgary"
"Antique Ambiance","https://example.com/images/store4_logo.jpg","A curated collection of antique home decor items.","Inglewood, Calgary"
"Luminous Luxuries","https://example.com/images/store5_logo.jpg","Handcrafted lamps and lighting solutions.","Mission, Calgary"
